location,cuisine,budget,city,restaurants,rating
KOLKATA,North Indian,below 500,Kolkata,Aminia,4
KOLKATA,North Indian,above 500,Kolkata,"The Legacy Grill, The Astor Hotel",4.8
KOLKATA,Chinese,below 500,Kolkata,Beijing Kolkata,4.1
KOLKATA,Chinese,above 500,Kolkata,Mainland China,4.5
KOLKATA,Bengali,below 500,Kolkata,Bhojohori Manna,4.3
KOLKATA,Bengali,above 500,Kolkata,Oh! Calcutta,4.4
KOLKATA,South Indian,below 500,Kolkata,Murugan Idli Shop (Salt Lake),4.1
KOLKATA,South Indian,above 500,Kolkata,Banana Leaf,4.3
KOLKATA,North Indian,below 500,Kolkata,Taj Bengal,4.5
KOLKATA,North Indian,above 500,Kolkata,ITC Sonar,4.7
KOLKATA,Chinese,below 500,Kolkata,Tung Nam,4.0
KOLKATA,Chinese,above 500,Kolkata,Tantra,4.2
KOLKATA,Bengali,below 500,Kolkata,Kewpies,4.3
KOLKATA,Bengali,above 500,Kolkata,Panch Phoron,4.1
KOLKATA,South Indian,below 500,Kolkata,Adi Dhakeshwari Bastralaya,4.5
KOLKATA,South Indian,above 500,Kolkata,New Kathi Roll Centre,4.3
KOLKATA,North Indian,below 500,Kolkata,Shiraz Golden Restaurant,4.2
KOLKATA,North Indian,above 500,Kolkata,Blue and Beyond,4.6
KOLKATA,Chinese,below 500,Kolkata,Yauatcha,4.5
KOLKATA,Chinese,above 500,Kolkata,China Pearl,4.3
KOLKATA,Bengali,below 500,Kolkata,6 Ballygunge Place,4.4
KOLKATA,Bengali,above 500,Kolkata,Baan Thai,4.1
KOLKATA,South Indian,below 500,Kolkata,Mithai,4.0
KOLKATA,South Indian,above 500,Kolkata,The Whistling Kettle,4.2
KOLKATA,North Indian,below 500,Kolkata,Bakstage,4.1
KOLKATA,North Indian,above 500,Kolkata,Six Ballygunge Place,4.3
KOLKATA,Chinese,below 500,Kolkata,Mainland China Asia Kitchen,4.4
KOLKATA,Chinese,above 500,Kolkata,Kwality,4.2
KOLKATA,Bengali,below 500,Kolkata,Bhooter Raja Dilo Bor,4.0
KOLKATA,Bengali,above 500,Kolkata,Mithai,4.5
AHMEDABAD,North Indian,below 500,Ahmedabad,Rajwadu,4.2
AHMEDABAD,North Indian,above 500,Ahmedabad,Agashiye (The House of MG),4.4
AHMEDABAD,Chinese,below 500,Ahmedabad,China Hut,3.8
AHMEDABAD,Chinese,above 500,Ahmedabad,Nanjing Restaurant,4.2
AHMEDABAD,Gujarati,below 500,Ahmedabad,Gordhan Thal (Multiple Locations),4.2
AHMEDABAD,Gujarati,above 500,Ahmedabad,Toran Dining Hall,4.3
AHMEDABAD,North Indian,below 500,Ahmedabad,Madras Cafe,4
AHMEDABAD,South Indian,above 500,Ahmedabad,South High - The Kitchen of South India,4.2
AHMEDABAD,North Indian,below 500,Ahmedabad,TGB - The Grand Bhagwati,4.1
AHMEDABAD,North Indian,above 500,Ahmedabad,Tinello - Hyatt Regency,4.3
AHMEDABAD,Chinese,below 500,Ahmedabad,Kabhi B,4.5
AHMEDABAD,Chinese,above 500,Ahmedabad,Saffron - Fairfield by Marriott,4.7
AHMEDABAD,Gujarati,below 500,Ahmedabad,Kandoi Bhogilal Mulchand,4.0
AHMEDABAD,Gujarati,above 500,Ahmedabad,Atithi Dining Hall,4.2
AHMEDABAD,North Indian,below 500,Ahmedabad,Agashiye,4.3
AHMEDABAD,South Indian,above 500,Ahmedabad,The Eatery - Four Points by Sheraton,4.5
AHMEDABAD,North Indian,below 500,Ahmedabad,Tinello - Hyatt Regency,4.1
AHMEDABAD,North Indian,above 500,Ahmedabad,The Great Kabab Factory,4.4
AHMEDABAD,Chinese,below 500,Ahmedabad,Pizzadilla,4.2
AHMEDABAD,Chinese,above 500,Ahmedabad,The Green House - The House of MG,4.3
BANGALORE,North Indian,below 500,Bangalore,Biriyani Junction,4.3
BANGALORE,North Indian,above 500,Bangalore,Barbeque Nation,4.5
BANGALORE,Chinese,below 500,Bangalore,The Noodle House,4.1
BANGALORE,Chinese,above 500,Bangalore,Hunan,4.3
BANGALORE,South Indian,below 500,Bangalore,Maiyas,4.2
BANGALORE,South Indian,above 500,Bangalore,Roti Ghar,4.4
BANGALORE,North Indian,below 500,Bangalore,Taaza Thindi,4.5
BANGALORE,North Indian,above 500,Bangalore,The Raj Pavilion - ITC Windsor,4.6
BANGALORE,Chinese,below 500,Bangalore,The Lantern,4.4
BANGALORE,Chinese,above 500,Bangalore,Punjab Grill,4.2
BANGALORE,South Indian,below 500,Bangalore,Brahmins' Coffee Bar,4.3
BANGALORE,South Indian,above 500,Bangalore,Vidyarthi Bhavan,4.1
BANGALORE,North Indian,below 500,Bangalore,Karnataka Bhel House,4.2
BANGALORE,North Indian,above 500,Bangalore,Meghana Foods,4.4
BANGALORE,Chinese,below 500,Bangalore,Mainland China,4.5
BANGALORE,Chinese,above 500,Bangalore,Banana Leaf,4.3
BANGALORE,South Indian,below 500,Bangalore,MTR - Mavalli Tiffin Rooms,4.5
BANGALORE,South Indian,above 500,Bangalore,Brahmin's Cafe,4.3
BANGALORE,North Indian,below 500,Bangalore,Empire Restaurant,4.2
BANGALORE,North Indian,above 500,Bangalore,Rajdhani Thali Restaurant,4.4
BANGALORE,Chinese,below 500,Bangalore,Bombay Chinese,4.3
BANGALORE,Chinese,above 500,Bangalore,The Lantern,4.2
BANGALORE,South Indian,below 500,Bangalore,Cafe Mysore,4.0
BANGALORE,South Indian,above 500,Bangalore,Sree Sagar,4.5
BANGALORE,North Indian,below 500,Bangalore,Crystal Bowl,4.1
BANGALORE,North Indian,above 500,Bangalore,Dakshin,4.3
BANGALORE,Chinese,below 500,Bangalore,Crystal Jade,4.4
BANGALORE,Chinese,above 500,Bangalore,Peter's Pan,4.2
BANGALORE,South Indian,below 500,Bangalore,Gokul Veg,4.0
BANGALORE,South Indian,above 500,Bangalore,Kamat Bugle Rock,4.5
MUMBAI,North Indian,below 500,Mumbai,Cream Centre,4.3
MUMBAI,North Indian,above 500,Mumbai,Bukhara - ITC Maratha,4.5
MUMBAI,Chinese,below 500,Mumbai,Mainland China,4.1
MUMBAI,Chinese,above 500,Mumbai,Golden Dragon - Taj Mahal Palace,4.3
MUMBAI,Bengali,below 500,Mumbai,Oh! Calcutta,4.2
MUMBAI,Bengali,above 500,Mumbai,Bombay Brasserie,4.4
MUMBAI,South Indian,below 500,Mumbai,Mavalli Tiffin Room (MTR),4.1
MUMBAI,South Indian,above 500,Mumbai,Ram Ashraya,4.3
MUMBAI,North Indian,below 500,Mumbai,Indigo Delicatessen,4.5
MUMBAI,North Indian,above 500,Mumbai,Peshawri - ITC Maratha,4.7
MUMBAI,Chinese,below 500,Mumbai,Soy Street,4.0
MUMBAI,Chinese,above 500,Mumbai,China House - Grand Hyatt,4.2
MUMBAI,Bengali,below 500,Mumbai,Trishna,4.3
MUMBAI,Bengali,above 500,Mumbai,Shree Thaker Bhojanalay,4.1
MUMBAI,South Indian,below 500,Mumbai,Krishna Palace Hotel,4.5
MUMBAI,South Indian,above 500,Mumbai,A Ramanayak Udipi Shri Krishna Boarding,4.3
MUMBAI,North Indian,below 500,Mumbai,Soul Fry Casa,4.2
MUMBAI,North Indian,above 500,Mumbai,The Table,4.6
MUMBAI,Chinese,below 500,Mumbai,The Oriental Blossom,4.5
MUMBAI,Chinese,above 500,Mumbai,Golden Dragon,4.3
MUMBAI,Bengali,below 500,Mumbai,Bhojohori Manna,4.4
MUMBAI,Bengali,above 500,Mumbai,Oh! Calcutta,4.1
MUMBAI,South Indian,below 500,Mumbai,Mavalli Tiffin Room (MTR),4.0
MUMBAI,South Indian,above 500,Mumbai,Hotel Ramashray,4.2
DELHI,North Indian,below 500,Delhi,Saravana Bhavan,4.3
DELHI,North Indian,above 500,Delhi,Bukhara - ITC Maurya,4.5
DELHI,Chinese,below 500,Delhi,Berco's,4.1
DELHI,Chinese,above 500,Delhi,China Garden - Hyatt Regency,4.3
DELHI,Bengali,below 500,Delhi,Oh! Calcutta,4.2
DELHI,Bengali,above 500,Delhi,29 - The Grill,4.4
DELHI,South Indian,below 500,Delhi,Sagar Ratna,4.1
DELHI,South Indian,above 500,Delhi,Saravana Bhavan,4.3
DELHI,North Indian,below 500,Delhi,Bukhara - ITC Maurya,4.5
DELHI,North Indian,above 500,Delhi,Indian Accent,4.7
DELHI,Chinese,below 500,Delhi,Berco's,4.0
DELHI,Chinese,above 500,Delhi,China Garden - Hyatt Regency,4.2
DELHI,Bengali,below 500,Delhi,Kewpies,4.3
DELHI,Bengali,above 500,Delhi,Baati Chokha,4.1
DELHI,South Indian,below 500,Delhi,Naivedyam,4.5
DELHI,South Indian,above 500,Delhi,Bangla Sahib Road,4.3
DELHI,North Indian,below 500,Delhi,Princess Garden,4.2
DELHI,North Indian,above 500,Delhi,Parikrama - The Revolving Restaurant,4.6
DELHI,Chinese,below 500,Delhi,The China Kitchen - Hyatt Regency,4.5
DELHI,Chinese,above 500,Delhi,Shang Palace - Shangri-La's Eros Hotel,4.3
DELHI,Bengali,below 500,Delhi,Bijoli Grill,4.0
DELHI,Bengali,above 500,Delhi,Bengali Market,4.2
DELHI,South Indian,below 500,Delhi,Nirula's,4.3
DELHI,South Indian,above 500,Delhi,Angan - The Metropolitan Hotel & Spa,4.1
DELHI,North Indian,below 500,Delhi,Parikrama - The Revolving Restaurant,4.5
DELHI,North Indian,above 500,Delhi,K3 - JW Marriott,4.3
DELHI,Chinese,below 500,Delhi,Pind Balluchi,4.0
DELHI,Chinese,above 500,Delhi,Asia 7 - Sheraton New Delhi,4.2
DELHI,Bengali,below 500,Delhi,Aaheli,4.3
DELHI,Bengali,above 500,Delhi,Panch Phoron,4.1
DELHI,South Indian,below 500,Delhi,Saravana Bhavan,4.5
DELHI,South Indian,above 500,Delhi,Naivedyam,4.3
DELHI,North Indian,below 500,Delhi,Indian Accent,4.2
DELHI,North Indian,above 500,Delhi,The Great Kabab Factory - Radisson Blu Plaza Delhi Airport,4.6
DELHI,Chinese,below 500,Delhi,The Monk - Bikaner House,4.5
DELHI,Chinese,above 500,Delhi,China Inc.,4.3
DELHI,Bengali,below 500,Delhi,Kasturi Multi Cuisine Restaurant,4.0
DELHI,Bengali,above 500,Delhi,Kewpies,4.2
DELHI,South Indian,below 500,Delhi,Saravana Bhavan,4.3
DELHI,South Indian,above 500,Delhi,Karim's,4.1
